id	label_of_act	description	evidence_in_source	evidence_in_tgt
11	negative	conflict	There was a nonsignificant trend toward a reduction in right atrial pressure -LRB- 9.2 + / - 3.9 vs. 11.2 + / - 4.1 	The role of nesiritide in pediatric heart failure has not been examined . In the present study , we reviewed our initial experience with nesiritide in children with primary heart failure or low cardiac output after heart surgery . Nesiritide was administered in an open-label fashion to patients with heart failure who were already receiving inotropic and diuretic therapy . Between July 2003 and August 2004 , 30 patients aged 5 days to 16.7 yrs -LRB- median age , 4.6 months -RRB- received nesiritide therapy . Diagnoses included single-ventricle congenital defect -LRB- n = 5 -RRB- , two-ventricle congenital defect -LRB- n = 13 -RRB- , heart transplant -LRB- n = 5 -RRB- , and dilated cardiomyopathy -LRB- n = 7 -RRB- . Sixteen patients were started on nesiritide within 2 wks of corrective or palliative heart surgery . The majority of subjects -LRB- n = 24 -RRB- received an initial bolus dose . Continuous infusion dosage ranged between 0.005 and 0.02 microg.kg.min . Duration of therapy ranged from 1 to 24 days -LRB- median , 4 days -RRB- . Administration of nesiritide was associated with improvement in fluid balance from positive 0.8 + / - 1.9 mL.kg.hr at baseline to negative 0.3 + / - 1.8 mL.kg.hr after 24 hrs of therapy -LRB- p = .02 -RRB- . There was a nonsignificant trend toward a reduction in right atrial pressure -LRB- 9.2 + / - 3.9 vs. 11.2 + / - 4.1 , p = .08 -RRB- . We report the use of nesiritide in two infants following cardiac surgery . Both infants had increased intracardiac filling pressures postoperatively , despite traditional afterload reduction and diuretics . Both infants demonstrated clinical improvement with nesiritide therapy . There is currently limited data available describing the use of nesiritide in infants .
12	positive	none	none	none
13	positive	none	none	none
14	negative	conflict	N = 107	N = 115
15	positive	none	none	none
16	positive	none	none	none
17	negative	conflict	Vaginal douching and bacterial vaginosis were not associated with spontaneous preterm birth overall	Vaginal douching was not associated with a significant reduction in the prevalence of BV 
18	positive	none	none	none
19	negative	conflict	 long-term paired associative stimulation induced persistent and clinically relevant strengthening of neural connections and restored voluntary movement in previously paralyzed muscles .	The tetraplegic patient regained in the human corticospinal tract is a result in human nerve stimulation
20	negative	conflict	placebo -LSB- hazard ratio = 1.8	; 6 % diarrhea -RRB- and hypertension -LRB- hazard ratio = 1.8 -LRB- 95 % CI 0.6-5.5 -RRB- 
21	negative	conflict	for hemorrhage after vaginal delivery was increased -LRB- OR = 1.29	but not statistically significant effect of the pregnancy of pregnancy -LRB- adjusted odds ratio = 1.29 
22	negative	conflict	The sensitivity 	OBJECTIVE . Endoscopic ultrasonography -LRB- EUS -RRB- - guided fine-needle aspiration -LRB- EUS-FNA -RRB- may facilitate tissue sampling for histopathological diagnosis of subepithelial tumors -LRB- SETs -RRB- in the gastrointestinal -LRB- GI -RRB- tract . However , immunohistochemistry is not always feasible using EUS-FNA samples due to the low quality of specimens often obtained by aspiration . This study aimed to compare the use of 22-gauge -LRB- G -RRB- EUS-guided fine-needle biopsy -LRB- EUS-FNB -RRB- with 22G EUS-FNA for core sampling used for histopathological examination , including immunohistochemistry , in patients with GI SETs . METHODS . Twenty-eight patients with GI SETs ≥ 2 cm in size were prospectively enrolled at five university hospitals in Korea between January and June 2013 . They were randomized to undergo either EUS-FNB or EUS-FNA . RESULTS . A total of 22 patients was finally analyzed in this study : 10 and 12 patients underwent EUS-FNA and EUS-FNB , respectively . Compared to the EUS-FNA group , the EUS-FNB group had a significantly lower median number of needle passes to obtain macroscopically optimal core samples -LRB- 4 vs. 2 , p = 0.025 -RRB- ; higher yield rates of macroscopically and histologically optimal core samples with three needle passes -LRB- 30 % vs. 92 % , p = 0.006 ; 20 % vs. 75 % , p = 0.010 , respectively -RRB- ; and a higher diagnostic sufficiency rate -LRB- 20 % vs. 75 % , p = 0.010 -RRB- . No technical difficulties were encountered in either group . CONCLUSIONS . This study shows that EUS-FNB has a better ability to obtain histological core samples and a higher diagnostic sufficiency rate than EUS-FNA and that EUS-FNB is a feasible , safe , and preferable modality for adequate core sampling for histopathological diagnosis of GI SETs . Endoscopic ultrasound -LRB- EUS -RRB- with fine needle aspiration -LRB- FNA -RRB- is a safe and effective way to sample lesions in the gastrointestinal tract . Rapid on-site specimen evaluation -LRB- ROSE -RRB- improves the accuracy of EUS-FNA . While data suggests that EUS with fine-needle biopsy -LRB- EUS-FNB -RRB- is effective , it remains unclear if ROSE is predictive of a final diagnosis when obtaining core specimens . The aim of this study was to investigate the utility of ROSE in achieving a final diagnosis for EUS-FNB core specimens . We evaluated 60 consecutive patients referred for EUS guided sampling of lesions within or adjacent to the gastrointestinal tract . All patients underwent EUS-FNB to evaluate the additive value of ROSE to the diagnostic accuracy of specimens obtained using a core biopsy needle . EUS-FNA was also performed in a majority of cases . EUS-FNB was feasible in all 60 cases ; on-site specimen adequacy and final diagnostic accuracy was 58 % -LSB- 95 % confidence intervals -LRB- CI -RRB- 45.1-71.2 -RSB- and 83 % -LRB- 95 % CI 71.9-91.5 -RRB- , respectively . The sensitivity , specificity , positive predictive value -LRB- PPV -RRB- , and negative predictive value of ROSE for core biopsies were 65 , 100 , 100 , and 39 % , respectively . On-site adequacy and diagnostic accuracy for EUS-FNA was 38 % -LRB- 95 % CI 22.2-53.5 -RRB- and 63 % -LRB- 95 % CI 50.1-75.8 -RRB- , respectively . There were no significant complications . EUS-FNB is safe , feasible , and effective . ROSE of the core biopsy provides excellent PPV ; however , an inadequate ROSE appears to be of limited value . Further prospective studies are needed to assess the optimal handling and onsite processing of core specimens to determine whether ROSE is beneficial for EUS-FNB . Retrospective cohort study of subjects who underwent EUS sampling of nonpancreatic adenocarcinoma lesions between February 2011 and May 2013 . Over the study period , there were 43 lesions biopsied in 41 unique patients in the EUS-FNB group and 53 patients in the EUS-FNA/B group . Overall diagnostic accuracy was similar between the EUS-FNB and EUS-FNA/B groups -LRB- 83.7 % vs. 84.9 % ; p = 1.0 -RRB- . In the subgroup of subepithelial mass lesions , diagnostic accuracy remained similar in the EUS-FNB and EUS-FNA/B groups -LRB- 81.0 % and 70.6 % ; p = 0.7 -RRB- . EUS-FNB procedures were significantly shorter than those in the EUS-FNA/B group -LRB- 58.4 minutes vs. 73.5 minutes ; p < 0.0001 -RRB- . EUS-FNB without on-site cytology provides a high diagnostic accuracy in nonpancreas adenocarcinoma lesions . There appears to be no additive benefit with initial EUS-FNA but this requires further study in a prospective study . Current limitations of EUS-guided FNA include the need for multiple passes and on-site cytology assessment and lack of core specimen . Recently , a new 25-gauge core biopsy needle -LRB- PC25 -RRB- was developed to overcome these limitations . To determine the diagnostic yield of EUS-guided FNA aspiration biopsy -LRB- FNAB -RRB- when using the PC25 needle among patients with solid pancreatic lesions . Retrospective analysis . Academic tertiary referral center . Fifty consecutive patients with a solid pancreatic lesion underwent EUS-guided FNAB with PC25 . EUS-guided FNAB with PC25 . The primary outcome was the diagnostic yield in single and overall passes of EUS-guided FNAB when using the PC25 needle for pancreatic solid lesions . Cytologic analysis showed malignancy in 38 patients on the first pass , with a cumulative sensitivity of 83 % , 91 % , and 96 % on passes 1 , 2 , and 3 , respectively . Although visible core was reported in 46 patients -LRB- 92 % -RRB- , histologic core was seen in 16 patients -LRB- 32 % -RRB- . Histologic analysis showed malignancy in 29 patients on the first pass , with a cumulative sensitivity of 63 % and 87 % on pass 1 and passes 1 to 4 , respectively . The sensitivity , specificity , and accuracy in combined cytologic and histologic results were 85 % , 100 % , and 86 % for single pass and 96 % , 100 % , and 96 % on multiple passes , respectively . No complications were seen . A retrospective study design at a single center using a single arm . EUS-guided FNAB with the PC25 needle showed excellent single-pass and overall diagnostic yields . This needle appears to maintain a high cytologic yield , similar to standard 25-gauge FNA needles , while also providing some histologic core tissue . Contemporary EUS-guided FNA techniques involve the use of a needle , with an air column within the lumen , with or without suction . We describe a novel technique with an aim to improve the quality of the aspirate . To compare a novel `` wet suction '' technique -LRB- WEST -RRB- with the conventional FNA technique -LRB- CFNAT -RRB- of EUS-guided FNA using a 22-gauge FNA needle . Two large tertiary-care hospitals . All consecutive adult patients presenting for EUS with possible FNA of solid lesions were offered the chance to participate in the study . All lesions were sampled with the same needle by using alternating techniques . Patients were randomized to the WEST versus the CFNAT for the first pass . If the first pass was made with the WEST , the second pass was made with the CFNAT , and subsequent passes were made in an alternating manner by using the same sequence . All FNAs were performed using 22-gauge needles . Specimen adequacy , cellularity , and blood contamination of EUS-guided FNA aspirates graded on a predefined scale . The WEST yielded significantly higher cellularity in a cell block compared with the CFNAT , with a mean cellularity score of 1.82 ± 0.76 versus 1.45 ± 0.768 -LRB- P < .0003 -RRB- . The WEST cell block resulted in a significantly better specimen adequacy of 85.5 % versus 75.2 % -LRB- P < .035 -RRB- . There was no difference in the amount of blood contamination between the 2 techniques . Lack of cross check and grading by a second cytopathologist .
23	positive	none	none	none
24	positive	none	none	none
25	positive	none	none	none
26	negative	conflict	There were 10 cerebral infarctions and 1 intracerebral hematoma in the standard-care group	There were 10 to these patients had recurrent stroke 2 or more years after the initial event 
27	positive	none		
28	negative	conflict	Median progression-free survival was 6.4 months 	Median time to progression was 5.4 months
29	negative	conflict	however 	To confirm the immunological basis of type I diabetes and to determine if immune intervention alters the course of the disease , we studied the use of cyclosporine in a 1-year randomized , double-masked , placebo-controlled trial in 23 subjects enrolled within 6 weeks of diagnosis . Subjects included 12 males and 11 females , ages 9-38 years -LRB- mean , 19.7 + / - 1.8 years -RRB- . Initial dosage of cyclosporine was 10 mg/kg/day , given as a single daily dose , adjusted on the basis of side effects and trough cyclosporine levels . Glycemic control and insulin dosage were similar in both cyclosporine and placebo groups . The frequency of freedom from insulin usage also was similar in both groups ; however , it is not possible to draw conclusions about response rates , because of the very small sample size . Glucose tolerance , as measured by rate of intravenous glucose disposal did not differ between groups . Moreover , acute insulin response to intravenous glucose was not restored in any subject . On the other hand , in comparison to the placebo group , the cyclosporine group did show an increased meal-stimulated C-peptide response after 3 , 6 , 9 , and 12 months . When measured by regression analysis , the slope defining the rate of decline of beta cell function was significantly slower for the cyclosporine group than the placebo group -LRB- p less than 0.05 -RRB- . Thus , as measured in response to a physiological stimulus -LRB- meal challenge -RRB- , cyclosporine preserves islet beta cell function when used in recent onset type I diabetes . Side effects were minimal and reversible upon cessation of immune intervention . The preservation of islet beta cell function by immune intervention is consistent with the hypothesis that type I diabetes has an immune mechanism involved in its pathogenesis .
30	positive	none		
31	negative	conflict		Sixty-two elderly apparently healthy volunteers , inmates of a public nursing home , were examined for evidence of primary Sjögren 's syndrome -LRB- pSS -RRB- . Evaluation included a specific questionnaire for subjective xerophthalmia and xerostomia , slit-lamp eye examination after rose Bengal staining . Labial salivary gland -LRB- LSG -RRB- biopsy revealed fibrosis and/or fatty infiltration in the majority of the individuals , related to ageing . However , four people had a lip biopsy score of greater than or equal to 2 + , which , supplemented by other objective criteria , classified three of them as having pSS . Another four had an LSG biopsy score of 1 + , and although they fulfilled other objective criteria , they could not be characterized as pSS . All these individuals were completely asymptomatic , and none of them had anti-Ro -LRB- SSA -RRB- or anti-La -LRB- SSB -RRB- autoantibodies .
32	negative	none		
33	negative	conflict	79 % were pump-treated 	 79 % 
34	positive	none		
35	positive	none		
36	positive	none		
37	negative	none		
38	positive	none		
39	positive	none		
40	positive	none		
41	negative	none		
42	positive	none		
43	positive	none		
44	negative		 Little difference was found between the 15/12 and 15/5 P-ointment groups	The PR of the PR was significantly higher in the patients treated with 15 % of patients with Mali -LRB- P < 0.001 -RRB- 
45	positive	none		
46	negative	conflict	1 factor 	Angioimmunoblastic T-cell lymphoma -LRB- AITL -RRB- is a systemic disease involving lymph nodes , spleen , and bone marrow . Although the histologic features have been well described , the diagnosis is often challenging , as there are no specific phenotypic or molecular markers available . This study shows that the neoplastic cells of AITL can be identified by aberrant CD10 expression . Archival material from 30 cases of AITL , 10 cases of peripheral T-cell lymphoma unspecified -LRB- PTL -RRB- , and 10 cases of reactive lymphoid hyperplasia were reviewed . Single and double immunostaining for CD3 , CD4 , CD8 , CD20 , CD21 , CD10 , BCL6 , Ki67 , and LMP-1 in situ hybridization for Epstein-Barr early region and polymerase chain reaction -LRB- PCR -RRB- for T-cell receptor gamma chain gene and immunoglobulin heavy chain gene were performed . Three overlapping histologic patterns with hyperplastic follicles , depleted follicles , or without follicles were identified in AITL . Of the 30 cases of AITL , 27 contained CD10 -LRB- + -RRB- T cells . No CD10 -LRB- + -RRB- T cells were present in the cases of PTL or reactive hyperplasia . PCR confirmed a monoclonal or oligoclonal T-cell population in 29 of 30 cases of AITL and a monoclonal B-cell population in 6 cases . Analysis of microdissected CD10 -LRB- + -RRB- single cells showed that they belonged to the neoplastic clone . In conclusion CD10 is a phenotypic marker that specifically identifies the tumor cells in 90 % of AITL , including the early cases . The presence of these cells distinguishes AITL from other PTLs . This finding provides an objective criterion for accurate and early diagnosis of AITL . Various patterns of Epstein-Barr virus -LRB- EBV -RRB- - associated B-cell lymphoproliferation occur in patients with immunodeficiency . We studied 17 cases of T-cell lymphoma displaying extensive EBV-driven B-cell lymphoproliferation or simultaneous/subsequent EBV-associated B-cell lymphoma . In 10 cases of angioimmunoblastic T-cell lymphoma , an uncommonly prominent population of EBV + atypical , activated , focally confluent large transformed B cells was found in the background of T-cell lymphoma . In 4 cases , an EBV-associated B-cell neoplasm -LRB- 3 diffuse large B-cell lymphomas , 1 plasmacytoma -RRB- occurred in patients with T-cell lymphoma . Three cases were composite lymphomas of a peripheral T-cell lymphoma , unspecified , combined with EBV-associated diffuse large B-cell lymphoma . The transformed B-cell population displayed EBV latency types 2 and 3 . Monoclonal and oligoclonal B-cell populations were detected in 5 and 6 cases , respectively . Peripheral T-cell lymphomas -LRB- PTCL -RRB- have been generally reported to have a worse prognosis than B-cell lymphomas -LRB- BCL -RRB- . Because of their heterogeneity and scarcity , the outcomes of the different histological subtypes have not been compared . From October 1987 to March 1993 , 1,883 patients with diffuse aggressive non-Hodgkin 's lymphomas -LRB- NHL -RRB- included in the LNH87 protocol could be assessed for both morphology and immunophenotyping . Among them , 288 -LRB- 15 % -RRB- had PTCL and 1,595 -LRB- 85 % -RRB- had BCL . According to the Kiel classification , most PTCL were classified as angioimmunoblastic -LRB- AIL ; 23 % -RRB- , pleomorphic medium and large T-cell -LRB- PML ; 49 % -RRB- , or anaplastic large cell -LRB- ALCL ; 20 % -RRB- lymphomas . According to the International Prognostic Index -LRB- IPI -RRB- , PTCL and BCL scores were , respectively : 0 factors , 13 % and 15 % ; 1 factor , 17 % and 22 % ; 2 factors , 24 % and 25 % ; > / = 3 factors , 45 % and 37 % -LRB- P = .09 -RRB- . For BCL and PTCL , respectively , complete remission rates were 63 % and 54 % -LRB- P = .004 -RRB- ; the 5-year overall survival -LRB- OS -RRB- rates were 53 % and 41 % -LRB- P = .0004 -RRB- and event-free survival -LRB- EFS -RRB- rates were 42 % and 33 % -LRB- P < . 0001 -RRB- . Comparison of the different histological subtypes of lymphoma showed that the 5-year OS rate for T-ALCL -LRB- 64 % -RRB- was superior to those of other PTCL -LRB- 35 % -RRB- as well as diffuse large B-cell -LRB- 53 % -RRB- NHL . When multivariate analysis was applied using the IPI score as one factor , nonanaplastic PTCL remained an independent parameter -LRB- P = . 0004 -RRB- . Although the poor prognosis of non-ALCL PTCL could be due in part to the presence of adverse prognostic factors at diagnosis , this study shows that the T-cell phenotype is an independent significant factor , which should be incorporated into the definition of prognostic groups .
